,Labels,Message
94,ham,havent planning buy later check already lido got show e afternoon u finish work already
95,spam,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
96,ham,watching telugu movie wat abt u
97,ham,see finish load loan pay
98,ham,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
99,ham,see cup coffee animation
100,ham,please text anymore nothing else say
101,ham,okay name ur price long legal wen pick u ave x am xx
102,ham,still looking car buy gone driving test yet
103,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
104,ham,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
105,ham,umma life vava umma love lot dear
106,ham,thanks lot wish birthday thanks making birthday truly memorable
107,ham,aight hit get cash
108,ham,would ip address test considering computer minecraft server
109,ham,know grumpy old people mom like better lying always one play joke
110,ham,dont worry guess busy
111,ham,plural noun research
112,ham,going dinner msg
113,ham,ok wif co like try new thing scared u dun like mah co u said loud
114,spam,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
115,ham,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
116,ham,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
117,spam,winner u specially selected receive holiday flight inc speak live operator claim p min
118,ham,goodo yes must speak friday egg potato ratio tortilla needed
119,ham,hmm uncle informed paying school directly pls buy food
120,spam,private account statement show unredeemed bonus point claim call identifier code expires
121,spam,urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm
122,ham,new address apple pair malarky
123,spam,today voda number ending selected receive award match please call quoting claim code standard rate app
124,ham,going sao mu today done
125,ham,predict wat time finish buying
126,ham,good stuff
127,ham,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
128,ham,room
129,ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
130,ham,k k much cost
131,ham,home
132,ham,dear call tmorrow pls accomodate
133,ham,first answer question
134,spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
135,spam,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p
136,ham,haf msn yijue hotmail com
137,ham,call meet
138,ham,check room befor activity
139,spam,rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
140,ham,got c lazy type forgot lect saw pouch like v nice
141,ham,k text way
142,ham,sir waiting mail
143,ham,swt thought nver get tired little thing lovable person coz somtimes little thing occupy biggest part heart gud ni
144,ham,know pls open back
145,ham,yes see ya dot
146,ham,whats staff name taking class u
147,spam,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
148,ham,ummma call check life begin qatar pls pray hard
149,ham,k deleted contact
150,ham,sindu got job birla soft
151,ham,wine flowing nevering
152,ham,yup thk cine better co need go plaza mah
153,ham,ok ur typical reply
154,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
155,ham,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one
156,ham,aaooooright work
157,ham,leaving house
158,ham,hello love get interview today happy good boy think missing
159,spam,customer service annoncement new year delivery waiting please call arrange delivery
160,spam,winner u specially selected receive cash holiday flight inc speak live operator claim
161,ham,keep safe need miss already envy everyone see real life
162,ham,new car house parent new job hand
163,ham,love excited day spend make happy
164,spam,pls stop bootydelious f inviting friend reply yes see www sm ac u bootydelious stop send stop frnd
165,spam,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu
166,ham,place ur point e culture module already
167,spam,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr
168,ham,hi frnd best way avoid missunderstding wit beloved one
169,ham,great escape fancy bridge need lager see tomo
170,ham,yes completely form clark also utter waste
171,ham,sir need axis bank account bank address
172,ham,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
173,ham,time coming later
174,ham,bloody hell cant believe forgot surname mr ill give u clue spanish begin
175,ham,well gon na finish bath good fine night
176,ham,let know got money carlos make call
177,ham,u still going mall
178,ham,turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth
179,ham,text doesnt reply let know log
180,ham,hi spoke maneesha v like know satisfied experience reply toll free yes
181,ham,lifted hope offer money need especially end month approach hurt studying anyways gr weekend
182,ham,lol u trust
183,ham,ok gentleman treat dignity respect
184,ham,guy close
185,ham,going nothing great bye
186,ham,hello handsome finding job lazy working towards getting back net mummy boytoy miss
187,ham,haha awesome minute
188,spam,please call customer service representative freephone pm guaranteed cash prize
189,ham,got xmas radio time get
190,ham,jus reached home go bathe first si using net tell u finish k
191,spam,unique enough find th august www areyouunique co uk
192,ham,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week
193,ham,hi finally completed course
194,ham,stop however suggest stay someone able give or every stool
195,ham,hope settled new school year wishin gr day
196,ham,gud mrng dear hav nice day
197,ham,u got person story
198,ham,hamster dead hey tmr meet pm orchard mrt
199,ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
200,ham,found enc lt gt
201,ham,sent lt gt buck
202,ham,hello darlin ive finished college txt u finish u love kate xxx
203,ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
204,ham,goodmorning sleeping ga
205,ham,u call alter ok
206,ham,say like dat dun buy ericsson oso oredi lar
207,ham,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
208,ham,aight yo dat straight dogg
209,ham,please give u connection today lt decimal gt refund bill
210,ham,shoot big load get ready
211,ham,bruv hope great break rewarding semester
212,ham,home always chat
213,ham,k k good study well
214,ham,yup noe leh
215,ham,sound great home
216,ham,finally match heading towards draw prediction
217,ham,tired slept well past night
218,ham,easy ah sen got selected mean good
219,ham,take exam march
220,ham,yeah think use gt atm register sure anyway help let know sure ready
221,ham,ok prob take ur time
222,ham,o called ubandu run without installing hard disk use o copy important file system give repair shop
223,ham,sorry call later
224,ham,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
225,spam,new mobile must go txt nokia collect today www tc biz optout gbp mtmsg
226,ham,would really appreciate call need someone talk
227,spam,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
228,ham,hey company elama po mudyadhu
229,ham,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
230,ham,dear good morning
231,ham,get gandhipuram walk cross cut road right side lt gt street road turn first right
232,ham,dear going rubber place
233,ham,sorry battery died yeah
234,ham,yes tv always available work place
235,spam,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recd thirtyeight penny
236,ham,printed oh lt gt come upstairs
237,ham,ill little closer like bus stop street
238,ham,wil reach
239,ham,new theory argument win situation loses person dont argue ur friend kick amp say always correct
240,spam,u secret admirer looking make contact u find r reveal think ur special call
241,ham,tomarrow final hearing laptop case cant
242,ham,pleassssssseeeeee tel v avent done sportsx
243,ham,okay shining meant signing sound better
244,ham,although told u dat baig face watch really like e watch u gave co fr u thanx everything dat u done today touched
245,ham,u remember old commercial
246,ham,late said website dont slipper
247,ham,asked call ok
248,ham,kallis wont bat nd inning
249,ham,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep
250,spam,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
251,ham,ranjith cal drpd deeraj deepak min hold
252,ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
253,ham,
254,ham,ups day also shipping company take wks way usps take week get lag may bribe nipost get stuff
255,ham,back lem know ready
256,ham,necessarily expect done get back though headin
257,ham,mmm yummy babe nice jolt suzy
258,ham,lover need
259,spam,tried contact reply offer video handset anytime network min unlimited text camcorder reply call
260,ham,parked next mini coming today think
261,ham,yup
262,ham,anyway going shopping co si done yet dun disturb u liao
263,ham,luton ring ur around h
264,spam,hey really horny want chat see naked text hot text charged pm unsubscribe text stop
265,ham,dint come u
266,ham,wana plan trip sometme
267,ham,sure yet still trying get hold
268,spam,ur ringtone service changed free credit go club mobile com choose content stop txt club stop p wk club po box mk wt
269,ham,evo download flash jealous
270,spam,ringtone club get uk single chart mobile week choose top quality ringtone message free charge
271,ham,come mu sorting narcotic situation
272,ham,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay
273,spam,hmv bonus special pound genuine hmv voucher answer easy question play send hmv info www percent real com
274,ham,usf guess might well take car
275,ham,objection bf coming
276,ham,thanx
277,ham,tell rob mack gf theater
278,ham,awesome see bit
279,ham,sent type food like
280,ham,done handed celebration full swing yet
281,ham,got called tool
282,ham,wen u miss someone person definitely special u person special miss keep touch gdeve
283,ham,ok asked money far
284,ham,okie
285,ham,yeah think usual guy still passed last night get ahold anybody let know throw
286,ham,k might come tonight class let early
287,ham,ok
288,ham,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx
289,ham,life mean lot love life love people life world call friend call world ge
290,ham,dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense
291,ham,hey told name gautham ah
292,ham,haf u found feel stupid da v cam working
293,ham,oops got bit
294,ham,much buzy
295,ham,accidentally deleted message resend please
296,spam,mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer end thfeb c apply
297,ham,unless situation go gurl would appropriate
298,ham,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
299,ham,cant pick phone right pls send message
300,ham,need coffee run tomo believe time week already
301,ham,awesome remember last time got somebody high first time diesel v
302,ham,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
303,ham,oh way food fridge want go meal tonight
304,ham,womdarfull actor
305,spam,sm ac blind date u rodds aberdeen united kingdom check http img sm ac w icmb cktz r blind date send hide
306,ham,yup remb think book
307,ham,jos ask u wana meet
308,ham,lol yes friendship hanging thread cause u buy stuff
309,spam,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap
310,ham,garage key bookshelf
311,ham,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
312,spam,think ur smart win week weekly quiz text play c winnersclub po box uz gbp week
313,ham,say give call friend got money definitely buying end week
314,ham,hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost
315,ham,made day great day
316,ham,k k advance happy pongal
317,ham,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
318,ham,really dude friend afraid
319,spam,december mobile mths entitled update latest colour camera mobile free call mobile update co free
320,ham,coffee cake guess
321,ham,merry christmas babe love ya kiss
322,ham,hey dont go watch x men lunch haha
323,ham,cud u tell ppl im gona b bit l co bus hav gon past co full im still waitin pete x
324,ham,would great guild could meet bristol road somewhere get touch weekend plan take flight good week
325,ham,problem
326,ham,call message missed call
327,ham,hi da today class
328,ham,say good sign well know track record reading woman
329,ham,cool text parked
330,ham,reading text sent meant joke read light
331,ham,k k apo k good movie
332,ham,maybe could get book tomo return immediately something
333,spam,call germany penny per minute call fixed line via access number prepayment direct access
334,ham,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
335,spam,valentine day special win quiz take partner trip lifetime send go p msg rcvd custcare
336,ham,ta daaaaa home babe still
337,ham,cool come havent wined dined
338,ham,sleeping surfing
339,ham,sorry call later
340,ham,u calling right call hand phone
341,ham,ok great thanx lot
342,ham,take post come must text happy reading one wiv hello caroline end favourite bless
343,ham,u hiding stranger
344,ham,interested like
345,ham,sister cleared two round birla soft yesterday
346,ham,gudnite tc practice going
347,ham,dis yijue jus saw ur mail case huiming havent sent u num dis num
348,ham,one small prestige problem
349,spam,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x
350,ham,checking really miss seeing jeremiah great month
351,ham,nah help never iphone
352,ham,car hour half going apeshit
353,ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
354,ham,yo guy ever figure much need alcohol jay trying figure much safely spend weed
355,ham,lt gt ish minute minute ago wtf
356,ham,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
357,spam,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
358,spam,ur cash balance currently pound maximize ur cash send cash p msg cc hg suite land row w j hl
359,ham,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday
360,ham,hello got st andrew boy long way cold keep posted
361,ham,ha ha cool cool chikku chikku db
362,ham,oh ok prob
363,ham,check audrey status right
364,ham,busy trying finish new year looking forward finally meeting
365,ham,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always
366,ham,well know z take care worry
367,spam,update xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call mobileupd call optout f q
368,spam,discount code rp stop message reply stop www regalportfolio co uk customer service
369,ham,wat uniform get
370,ham,cool text ready
371,ham,hello boytoy geeee miss already woke wish bed cuddling love
372,ham,spoil bed well
373,ham,going bath msg next lt gt min
374,ham,cant keep talking people sure pay agree price pls tell want really buy much willing pay
375,spam,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service
376,ham,say happen
377,ham,could seen recognise face
378,ham,well lot thing happening lindsay new year sigh bar ptbo blue heron something going
379,ham,keep payasam rinu brings
380,ham,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake
381,ham,guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin
382,ham,yeah sure give couple minute track wallet
383,ham,hey leave big deal take care
384,ham,hey late ah meet
385,spam,double min txts month free bluetooth orange available sony nokia motorola phone call mobileupd call optout n dx
386,ham,took mr owl lick
387,ham,customer place call
388,ham,mm time dont like fun
389,spam,mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update stoptxt
390,ham,yup lunch buffet u eat already
391,ham,huh late fr dinner
392,ham,hey sat going intro pilate kickboxing
393,ham,morning ok
394,ham,yes think office lap room think thats last day didnt shut
395,ham,pick bout ish time going
396,ham,performance award calculated every two month current one month period
397,ham,actually sleeping still might u call back text gr rock si send u text wen wake
398,ham,always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated
399,ham,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india
400,ham,hmmm k want change field quickly da wan na get system administrator network administrator
401,spam,free ringtone text first poly text get true tone help st free tone x pw e nd txt stop
402,ham,dear chechi talk
403,ham,hair cream shipped
404,ham,none happening til get though
405,ham,yep great loxahatchee xmas tree burning lt gt start hour
406,ham,haha get used driving usf man know lot stoner
407,ham,well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always
408,ham,hello good week fancy drink something later
409,ham,headin towards busetop
410,ham,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
411,ham,come room point iron plan weekend
412,ham,co want thing
413,ham,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah
414,ham,bring home wendy
415,spam,dating service cal l box sk ch
416,ham,whatsup dont u want sleep
417,ham,alright new goal
418,spam,free entry weekly competition text word win c www txttowin co uk
419,ham,alright head minute text meet
420,spam,send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p
421,ham,yes last week taking live call
422,spam,someone contacted dating service entered phone fancy find call landline pobox n tf p
423,ham,siva hostel aha
424,spam,urgent mobile number awarded prize guaranteed call land line claim valid hr
425,ham,send ur friend receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply
426,ham,ok ok guess
427,ham,aathi dear
428,ham,pain urination thing else
429,ham,esplanade mind giving lift co got car today
430,ham,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob
431,ham,home watching tv lor
432,ham,usually take fifteen fucking minute respond yes question
433,spam,congrats nokia video camera phone call call cost ppm ave call min vary mobile close post bcm ldn wc n xx
434,ham,booked ticket pongal
435,ham,available like right around hillsborough amp lt gt th
436,ham,message sent askin lt gt dollar shoul pay lt gt lt gt
437,ham,ask g iouri told story like ten time already
438,ham,long applebees fucking take
439,ham,hi hope u get txt journey hasnt gd min late think
440,ham,like love arrange
441,ham,yes really great bhaji told kallis best cricketer sachin world tough get
442,ham,supposed wake gt
443,ham,oic saw tot din c found group liao
444,ham,sorry call later
445,ham,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx
446,ham,sorry battery died come getting gram place
447,ham,well done blimey exercise yeah kinda remember wot hmm
448,ham,wont get concentration dear know mind everything
449,ham,lol made plan new year
450,ham,min later k
451,ham,hank lotsly
452,ham,thanks hope good day today
453,ham,k k detail want transfer acc enough
454,ham,ok tell stay yeah tough optimistic thing improve month
455,spam,loan purpose homeowner tenant welcome previously refused still help call free text back help
456,ham,si si think ill go make oreo truffle
457,ham,look amy ure beautiful intelligent woman like u lot know u like like worry
458,ham,hope result consistently intelligent kind start asking practicum link keep ear open best ttyl
459,ham,call cost guess isnt bad miss ya need ya want ya love ya
460,ham,going thru different feeling wavering decision coping individual time heal everything believe
461,ham,u go phone gon na die stay
462,ham,great never better day give even reason thank god
463,spam,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end th july c apply opt available
464,ham,sorry call later ok bye
465,ham,ok way railway
466,ham,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night
467,ham,put stuff road keep getting slippery
468,ham,going ride bike
469,ham,yup need jus wait e rain stop
470,ham,many company tell language
471,spam,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae box cw wx ppm
472,ham,long since screamed princess
473,ham,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust ja person sending account detail co
474,spam,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p
475,ham,nice line said broken heart plz cum time infront wise trust u good
476,ham,ok gon na head usf like fifteen minute
477,ham,love aathi love u lot
478,ham,tension ah machi problem
479,ham,k pick another th done
480,ham,guy getting back g said thinking staying mcr
481,ham,almost see u sec
482,ham,yo carlos friend already asking working weekend
483,ham,watching tv lor
484,ham,thank baby cant wait taste real thing
485,ham,change fb jaykwon thuglyfe falconerf
486,ham,win really side long time
487,spam,free message activate free text message replying message word free term condition visit www com
488,ham,dear reached railway happen
489,ham,depends quality want type sent boye faded glory want ralphs maybe
490,ham,think fixed send test message
491,ham,sorry man account dry would want could trade back half could buy shit credit card
492,spam,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss
493,ham,sorry meeting call later
494,ham,class lt gt reunion
495,ham,free call
496,ham,got meh
497,ham,nope think go monday sorry replied late
498,ham,told accenture confirm true
499,ham,kate jackson rec center ish right
500,ham,dear reache room
501,ham,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
502,ham,come
503,ham,check nuerologist
504,ham,lolnice went fish water
505,spam,congratulation week competition draw u prize claim call b c stop sm ppm
506,ham,waiting e car dat bored wat co wait outside got nothing home stuff watch tv wat
507,ham,maybe westshore hyde park village place near house
508,ham,know anthony bringing money school fee pay rent stuff like thats need help friend need
509,ham,significance
510,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
511,ham,latest g still scrounge ammo want give new ak try
512,ham,prabha soryda realy frm heart sory
513,ham,lol ok forgiven
514,ham,jst change tat
515,spam,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
516,ham,competition
517,spam,boltblue tone p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tone txt
518,spam,credit topped http www bubbletext com renewal pin tgxxrz
519,ham,way transport le problematic sat night way u want ask n join bday feel free need know definite no booking fri
520,ham,usually person unconscious child adult may behave abnormally call
521,ham,ebay might le elsewhere
522,ham,shall come get pickle
523,ham,gon na go get taco
524,ham,rude campus
525,spam,urgent mobile awarded bonus caller prize nd attempt contact call box qu
526,ham,hi b ard christmas enjoy n merry x ma
527,spam,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x
528,ham,yes pretty lady like single
529,spam,recieve tone within next hr term condition please see channel u teletext pg
530,ham,jay say double faggot
531,spam,private account statement show un redeemed point call identifier code expires
532,ham,today sunday sunday holiday work
533,ham,gudnite tc practice going
534,ham,late
535,ham,called hoping l r malaria know miss guy miss ban big pls give love especially great day
536,ham,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea
537,ham,probably gon na see later tonight lt
538,ham,maybe fat finger press button know
539,ham,ummmmmaah many many happy return day dear sweet heart happy birthday dear
540,ham,tirupur da started office call
541,spam,www applausestore com monthlysubscription p msg max month csc web age stop txt stop
542,ham,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married
543,ham,going college pa else ill come self pa
544,ham,oclock mine bash flat plan
545,ham,girl stay bed girl need recovery time id rather pas fun cooped bed
546,ham,special
547,ham,know need get hotel got invitation apologise cali sweet come english bloke weddin
548,ham,sorry took long omw
549,ham,wait lt gt min
550,ham,ok give minute think see btw alibi cutting hair whole time
551,ham,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
552,ham,hurry weed deficient like three day
553,ham,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
554,ham,ok every night take warm bath drink cup milk see work magic still need loose weight know
555,ham,look frying pan case cheap book perhaps silly frying pan likely book
556,ham,well uv cause mutation sunscreen like essential thesedays
557,ham,lunch online
558,ham,know friend already told
559,ham,hi princess thank pic pretty
560,ham,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee
561,ham,hi msg office
562,ham,thanx e brownie v nice
563,ham,geeeee love much barely stand
564,spam,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
565,ham,fuck babe miss already know let send money towards net need want crave
566,ham,ill call u mrw ninish address icky american freek wont stop callin bad jen k eh
567,ham,oooh bed ridden ey thinking
568,ham,anyways go gym whatever love smile hope ok good day babe miss much already
569,ham,love daddy make scream pleasure going slap as dick
570,ham,wot u wan na missy
571,ham,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee
572,ham,know lab goggles went
573,ham,open door
574,ham,waiting call
575,ham,nope waiting sch daddy
576,spam,cash prize claim call
577,ham,tired arguing week week want
578,ham,wait sch finish ard
579,spam,mobile number claim call u back ring claim hot line
580,ham,arngd marriage u r walkin unfortuntly snake bite u bt love marriage dancing frnt snake amp sayin bite bite
581,ham,huh early dinner outside izzit
582,ham,ok anyway need change said
583,spam,tried contact reply offer min textand new video phone call reply free delivery tomorrow
584,ham,ex wife able kid want kid one day
585,ham,scotland hope showing jjc tendency take care live dream
586,ham,tell u headache want use hour sick time
587,ham,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
588,ham,pete please ring meive hardly gotany credit
589,ham,ya srsly better yi tho
590,ham,meeting call later
591,spam,ur chance win wkly shopping spree txt shop c www txt shop com custcare x p wk
592,spam,specially selected receive pound award call line close cost ppm c apply ag promo
593,spam,private account statement show un redeemed point call identifier code expires
594,ham,still grand prix
595,ham,met stranger choose friend long world stand friendship never end let friend forever gud nitz
596,ham,great
597,ham,gud mrng dear nice day
598,spam,important customer service announcement call freephone
599,ham,exhausted train morning much wine pie sleep well
600,ham,going buy mum present ar
601,ham,mind blastin tsunami occur rajnikant stopped swimming indian ocean
602,ham,u sending home first ok lor ready yet
603,ham,speaking cash yet
604,ham,happy come noon
605,ham,meet lunch la
606,ham,take care n get well soon
